ros_hc,ros_rrhc,ros_sa,ras_hc,ras_rrhc,ras_sa,ack_hc,ack_rrhc,ack_sa,sphere_hc,sphere_rrhc,sphere_sa
32.51915057054008,30.6833767689509,27.859471976388416,308.49045275395133,226.90008040275637,283.57759184904927,19.720874175529783,19.445996688772983,21.143072087898698,0.00023126575210613613,0.00017079657424018602,85.7228233868326
32.36036092250845,31.520562977524083,30.765288302769896,335.36084470035865,214.9729983712093,330.34413926838954,19.37208981580857,19.058150377676856,20.70109815266418,0.00025457108621497075,0.00019068906654767204,89.10883904762017
33.503667078672926,27.369170294905228,31.677587287535253,235.85682728977685,235.85682728977685,252.73380465310078,19.57321517750182,19.267372613502825,20.994881004847716,0.00022648977172301928,0.00021397265014029386,141.90617665735047
31.786516312171496,29.48629611094197,31.42315599716171,363.20529648893034,220.92870518869609,380.0922178961021,19.314148499530496,19.061410896698657,20.771816356429827,0.0002835281167714072,0.00025704690391614016,86.08560164641216
34.103841149868856,30.52141613273771,30.67004502308029,297.548768517235,217.9449060408662,277.6073555193376,19.531108906191474,19.149638573624266,21.05258459618823,0.0002924141471045163,0.00021809229952109228,96.32647967515504
32.84993622960295,32.68957990067453,29.018267877687965,264.71583426482243,190.08146379293498,256.71243751239484,19.666638806029205,19.21403842191741,21.557792085330334,0.00026719816521976144,0.0002194846336623595,116.5319782093806
34.078616497895936,32.79595016577116,30.848611505436054,288.57648192673224,210.98113880006903,283.5912657757818,19.63971162789654,18.903838733576915,21.037249532940226,0.00019855914625983577,0.00018665718926295813,73.64649254569748
33.42810925452473,30.573366864835787,29.938622183270503,218.95013413249268,218.95013413249268,200.01563151985545,19.261848531316566,19.261848531316566,20.90676459976522,0.00030161763409049204,0.00017193952059538472,89.7535959543736
33.01876488370433,29.443382515031967,31.71014011480202,334.34991655023333,264.7038035066939,320.39069612534297,19.405055763373593,19.405055763373593,21.009047483639137,0.00026885907591971266,0.00022222560418510496,82.03280351937126
33.382183839628375,30.96854804560774,30.2640784190414,297.54413776765574,208.99472580646298,331.3416130207177,19.498389381653617,19.185317642239365,21.013789254162422,0.0003158462240271895,0.0001730464014698056,69.8583158771704
